"scenario","model","rep","pvpr_2_10","pcr_2_10","clin_0_5","clin_all","relapse_all","hyp_all","eir_realised"
"demography","IBM",1,0.0776308155678304,0.158850259282178,0.862421619222019,0.411467004858725,4.44273698489798,0.300144447607309,2.45147936856193
"eir_1","IBM",2,0.0435341642595861,0.0889311951536766,0.43935596407296,0.464402865200657,1.79488421847008,0.149697402125974,1.09641350834391
"eir_3","IBM",2,0.0923739065642122,0.186015180358216,1.16841841927019,0.675784287234688,4.74431096504047,0.309605462208816,3.24855669397
"eir_10","IBM",2,0.1737560281623,0.346538615696199,2.27438237384018,0.875936898187601,13.1718994289702,0.55015089919522,10.598164127143
"demography","IBM",2,0.0712687614290143,0.14381400335496,0.92975195601224,0.399433588679006,4.31443609142033,0.290601920932735,2.43647887191015
"eir_1","IBM",3,0.0390410967776199,0.0809432427426176,0.437302623961019,0.438792202167658,1.69062869816364,0.142276142425103,1.08012883187704
"eir_3","IBM",3,0.0905681344631199,0.18300616247206,1.14705409510109,0.671309034025529,4.91005585805521,0.311805070269163,3.2828721245548
"eir_10","IBM",3,0.175608164925354,0.353523028940627,2.25689399327717,0.87194212324784,13.0866156103019,0.546166198443116,10.6337455777069
"demography","IBM",3,0.083797849028832,0.168121082914153,1.12615850280621,0.436200318685164,4.43063657032809,0.301814923700401,2.54120197119184
"eir_1","IBM",4,0.045792416617793,0.0923972813988683,0.50955380073958,0.474002215434192,1.86724178443154,0.153330393522361,1.16232070760547
"eir_3","IBM",4,0.0903654410467745,0.18086172890977,1.14573212896534,0.682077358300673,4.83333722781054,0.308295310049757,3.28781708303973
"eir_10","IBM",4,0.173936431402241,0.349147972970832,2.16908532388179,0.838847429549582,13.1060047702873,0.547951709119918,10.7065219784942
"demography","IBM",4,0.0759411853993958,0.152900715977187,0.893715205833072,0.374133640840435,4.35857024905317,0.291810742127551,2.42893035147754
"eir_1","IBM",5,0.0443581557223804,0.0918316538991317,0.426385078819221,0.473812636021325,1.88457666917351,0.157711904510984,1.14178138078026
"eir_3","IBM",5,0.0878670261273363,0.177744500836625,1.03979079136882,0.644366350692331,4.66878570163245,0.304101982248265,3.09546980857158
"eir_10","IBM",5,0.170153417927277,0.345425888649977,2.22741192351335,0.838514660560141,13.0363481407014,0.550072518512466,10.251539198263
"demography","IBM",5,0.0762154087048723,0.154384321010233,0.850164235614372,0.393500179680447,4.49810205392788,0.302029179008758,2.4855182703421
"eir_1","IBM",6,0.0423121178406033,0.087973766708825,0.487864909466473,0.436122159013892,1.73157469733688,0.148894014539887,1.0616719834535
"eir_3","IBM",6,0.0916188392501994,0.182570620923647,1.11307873537404,0.641121899145527,4.6950340690752,0.304890113499789,3.16637943975906
"eir_10","IBM",6,0.171551241190677,0.345128371709107,2.22379169503063,0.847526673846186,13.1726495231503,0.545732575301073,10.4748062564534
"demography","IBM",6,0.0800801411794061,0.161218054705008,0.946400821566333,0.41016696633203,4.51576996585934,0.305167072268181,2.52235930588453
"eir_1","IBM",7,0.043160172258888,0.089142212876496,0.477798860792955,0.447925516101331,1.73640427699793,0.150060701560937,1.05949822815597
"eir_3","IBM",7,0.0930041788409044,0.186022352886543,1.14975454732231,0.645813668876264,4.76901837699015,0.314058001302513,3.18035114040161
"eir_10","IBM",7,0.172460720982936,0.347303272633411,2.33585779040751,0.860033812040122,13.3865024203047,0.554877668891582,10.5516155172863
"demography","IBM",7,0.0746749606140287,0.151617067441117,0.878134542426205,0.399466994995704,4.37720359770159,0.293466907872344,2.46540471762629
"eir_1","IBM",8,0.0400111045453785,0.0820400401608075,0.456127993735941,0.446224415053876,1.64261834807941,0.138540681602382,1.07555467163807
